시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
아산시,알로찬농장,닭,육계,14000,충청남도 아산시 신창면 오목리 236-1,,,2025-05-01,2025-12-26
아산시,연호농장,닭,종계/산란계,6500,충청남도 아산시 둔포면 신양리 76-1,,,2025-05-01,2025-12-26
아산시,염치농장,닭,종계/산란계,25000,충청남도 아산시 염치읍 쌍죽리 89,,,2025-05-01,2025-12-26
아산시,영남축산,닭,육계,31000,충청남도 아산시 둔포면 염작리 56-13,,,2025-05-01,2025-12-26
아산시,영월농장,닭,육계,70000,충청남도 아산시 배방읍 북수리 472-4,,,2025-05-01,2025-12-26
아산시,우림농원,닭,종계/산란계,40000,충청남도 아산시 선장면 죽산리 103-5,,,2025-05-01,2025-12-26
아산시,원농장,닭,육계,300000,충청남도 아산시 신창면 남성리 693,,,2025-05-01,2025-12-26
아산시,유아농장,닭,육계,36000,충청남도 아산시 둔포면 산전리 36,,,2025-05-01,2025-12-26
아산시,융진농장,닭,육계,110000,충청남도 아산시 도고면 효자리 143-21외 2필지,,,2025-05-01,2025-12-26
아산시,으뜸목장,닭,종계/산란계,75000,충청남도 아산시 인주면 해암리 11-2,,,2025-05-01,2025-12-26
아산시,음봉양계장,닭,종계/산란계,18000,충청남도 아산시 음봉면 삼거리 183-5,,,2025-05-01,2025-12-26
아산시,인광농장,닭,육계,25000,충청남도 아산시 도고면 신통리 91-1,,,2025-05-01,2025-12-26
아산시,인해농원,닭,종계/산란계,15000,충청남도 아산시 영인면 창용리 39,,,2025-05-01,2025-12-26
아산시,인흥농장,닭,육계,80000,충청남도 아산시 둔포면 운교리 190,,,2025-05-01,2025-12-26
아산시,재연농장,닭,육계,60000,충청남도 아산시 염치읍 중방리 95-10,,,2025-05-01,2025-12-26
아산시,제일농장,닭,육계,36000,충청남도 아산시 음봉면 신정리 11-1,,,2025-05-01,2025-12-26
아산시,진수농장,닭,육계,500,충청남도 아산시 선장면 죽산리 331-1,,,2025-05-01,2025-12-26
아산시,창원농장,닭,육계,25000,충청남도 아산시 둔포면 신양리 218-1,,,2025-05-01,2025-12-26
아산시,창의농장,닭,육계,80000,충청남도 아산시 도고면 시전리 350-1,,,2025-05-01,2025-12-26
아산시,청송농원,닭,육계,40000,충청남도 아산시 배미동 185-1,,,2025-05-01,2025-12-26
아산시,초록농장,닭,종계/산란계,200,충청남도 아산시 선장면 군덕리 459-7,,,2025-05-01,2025-12-26
아산시,초원농원,닭,종계/산란계,67720,충청남도 아산시 음봉면 산정리 223,,,2025-05-01,2025-12-26
아산시,초원충남사료 영농조합법인(아산지소),닭,종계/산란계,15000,충청남도 아산시 둔포면 신양리 255-2,,,2025-05-01,2025-12-26
아산시,칠목농장,닭,육계,45000,충청남도 아산시 신창면 행목리 311-1 외 7필지(98/98-1/101/310/311/311-2/311-9),,,2025-05-01,2025-12-26
아산시,통일청란,닭,종계/산란계,12700,충청남도 아산시 둔포면 산전리 390-8,,,2025-05-01,2025-12-26
아산시,평택농장,닭,육계,23680,충청남도 아산시 둔포면 신양리 305-15,,,2025-05-01,2025-12-26
아산시,푸른초원농원,닭,종계/산란계,21000,충청남도 아산시 음봉면 산정리 222-1,,,2025-05-01,2025-12-26
아산시,한미농장,닭,종계/산란계,42406,충청남도 아산시 음봉면 덕지리 26-4,,,2025-05-01,2025-12-26
아산시,한일농장,닭,육계,24480,충청남도 아산시 도고면 신통리 95-1,,,2025-05-01,2025-12-26
아산시,향원농장,닭,육계,50000,충청남도 아산시 신창면 남성리 675-1,,,2025-05-01,2025-12-26
아산시,현광1농장,닭,육계,20000,충청남도 아산시 초사동 261-1,,,2025-05-01,2025-12-26
아산시,현광2농장,닭,육계,45000,충청남도 아산시 장존동 산38-35,,,2025-05-01,2025-12-26
아산시,현대농장,닭,육계,30000,충청남도 아산시 음봉면 신정리 11-1,,,2025-05-01,2025-12-26
아산시,현민농장,닭,육계,55000,충청남도 아산시 신창면 가덕리 44-1,,,2025-05-01,2025-12-26
아산시,협진농장,닭,육계,40000,충청남도 아산시 음봉면 원남리 180-3,,,2025-05-01,2025-12-26
아산시,호반 토종닭,닭,육계,50,충청남도 아산시 염치읍 동정리 33,,,2025-05-01,2025-12-26
아산시,희망농장,닭,종계/산란계,30000,충청남도 아산시 둔포면 산전리 364-1,,,2025-05-01,2025-12-26
아산시,감나무집,닭,육계,50,충청남도 아산시 탕정면 용두리 15-1,,,2025-05-01,2026-03-10
아산시,거해농장,닭,육계,75000,충청남도 아산시 신창면 가덕리 1015,,,2025-05-01,2026-03-10
아산시,건강마을,닭,종계/산란계,9000,충청남도 아산시 둔포면 봉재리 159-14,,,2025-05-01,2026-03-10
아산시,고령농장,닭,육계,14338,충청남도 아산시 영인면 신봉리 95-12,,,2025-05-01,2026-03-10
아산시,곡부농장,닭,종계/산란계,8000,충청남도 아산시 둔포면 신양리 217,,,2025-05-01,2026-03-10
아산시,그린농장,닭,종계/산란계,4000,충청남도 아산시 음봉면 산정리 204-2 외 1필지(204-3),,,2025-05-01,2026-03-10
아산시,근해농장,닭,종계/산란계,9500,충청남도 아산시 음봉면 원남리 313-1,,,2025-05-01,2026-03-10
아산시,금강농장,닭,종계/산란계,21400,충청남도 아산시 음봉면 원남리 15-5,,,2025-05-01,2026-03-10
아산시,금미농장,닭,육계,14903,충청남도 아산시 둔포면 산전리 244-1 외 1필지(244-5),,,2025-05-01,2026-03-10
아산시,금반농원,오리,,8000,충청남도 아산시 신창면 행목리 429-3,,,2025-05-01,2026-03-10
아산시,금산농장,닭,종계/산란계,34000,충청남도 아산시 영인면 신운리 128,,,2025-05-01,2026-03-10
아산시,기림농장,닭,육계,50000,충청남도 아산시 배방읍 북수리 528-2,,,2025-05-01,2026-03-10
아산시,남성농장,닭,육계,14715,충청남도 아산시 신창면 남성리 561-1 외 1필지(562),,,2025-05-01,2026-03-10
아산시,농업회사법인 다온앤팜,닭,종계/산란계,35000,충청남도 아산시 음봉면 쌍암리 147-7,,,2025-05-01,2026-03-10
아산시,농업회사법인 에이치비(주)예산농장,메추리,,320000,충청남도 아산시 도고면 효자리 13-1,,,2025-05-01,2026-03-10
아산시,농업회사법인 주식회사 뉴코리아,닭,육계,23000,충청남도 아산시 도고면 화천리 143-21,,,2025-05-01,2026-03-10
아산시,농업회사법인주식회사 골드마운틴,닭,종계/산란계,18000,충청남도 아산시 영인면 신봉리 527,,,2025-05-01,2026-03-10
아산시,농업회사법인주식회사계림농장,닭,종계/산란계,120000,충청남도 아산시 신창면 읍내리 39-3,,,2025-05-01,2026-03-10
아산시,대박농장,닭,육계,27000,충청남도 아산시 신창면 황산리 342-15,,,2025-05-01,2026-03-10
아산시,대한농장,닭,종계/산란계,150336,충청남도 아산시 둔포면 염작리 289-17,,,2025-05-01,2026-03-10
아산시,덕산농장,닭,육계,50000,충청남도 아산시 배방읍 세출리 105-1,,,2025-05-01,2026-03-10
아산시,도고농장,닭,육계,70000,충청남도 아산시 도고면 금산리 69-3,,,2025-05-01,2026-03-10
아산시,동준농장,닭,종계/산란계,8000,충청남도 아산시 인주면 해암리 11-9,,,2025-05-01,2026-03-10
아산시,디와이팜,닭,종계/산란계,470000,충청남도 아산시 신창면 오목리 143-24,,,2025-05-01,2026-03-10
아산시,명막골농장,닭,종계/산란계,25000,충청남도 아산시 배방읍 수철리 60-2,,,2025-05-01,2026-03-10
아산시,배미농장,닭,육계,30000,충청남도 아산시 신창면 남성리 69-6,,,2025-05-01,2026-03-10
아산시,백운농장,오리,,31980,충청남도 아산시 둔포면 신남리 681-10 외 2(681-11/ 678-2),,,2025-05-01,2026-03-10
아산시,보광농원,닭,종계/산란계,0,충청남도 아산시 신창면 궁화리 145,,,2025-05-01,2026-03-10
아산시,보리원농장,닭,종계/산란계,18000,충청남도 아산시 인주면 모원리 189-외 3필지(189-1/190/190-1),,,2025-05-01,2026-03-10
아산시,부활농장,닭,종계/산란계,50000,충청남도 아산시 음봉면 산동리 578,,,2025-05-01,2026-03-10
아산시,부활농장,닭,종계/산란계,20000,충청남도 아산시 음봉면 산정리 27,,,2025-05-01,2026-03-10
아산시,산들농장,닭,육계,50000,충청남도 아산시 염치읍 산양리 584,,,2025-05-01,2026-03-10
아산시,산마루식당,닭,육계,30,충청남도 아산시 도고면 농은리 298,,,2025-05-01,2026-03-10
아산시,삼봉농장,닭,종계/산란계,30000,충청남도 아산시 도고면 화천리 45,,,2025-05-01,2026-03-10
아산시,삼진농장,닭,육계,50000,충청남도 아산시 인주면 도흥리 1-6,,,2025-05-01,2026-03-10
아산시,상미농장,닭,육계,50000,충청남도 아산시 도고면 금산리 69-6 외 1필지,,,2025-05-01,2026-03-10
아산시,상일농장,닭,육계,80000,충청남도 아산시 둔포면 염작리 125-1,,,2025-05-01,2026-03-10
아산시,서유농원,닭,종계/산란계,18000,충청남도 아산시 둔포면 관대리 65-3,,,2025-05-01,2026-03-10
아산시,성내가든,닭,육계,30,충청남도 아산시 영인면 성내리 459-5,,,2025-05-01,2026-03-10
아산시,성보농원,닭,종계/산란계,80000,충청남도 아산시 둔포면 염작리 292-2,,,2025-05-01,2026-03-10
아산시,성윤농원,닭,종계/산란계,20000,충청남도 아산시 신창면 가내리 380-1,,,2025-05-01,2026-03-10
아산시,수봉농원,닭,종계/산란계,50000,충청남도 아산시 음봉면 동천리 85-1,,,2025-05-01,2026-03-10
아산시,수장농장,닭,육계,30000,충청남도 아산시 신창면 수장리 275-11,,,2025-05-01,2026-03-10
아산시,수정농장,닭,종계/산란계,13000,충청남도 아산시 영인면 창용리 131-2 외 1필지(131-3),,,2025-05-01,2026-03-10
아산시,시우농장,닭,육계,153000,충청남도 아산시 음봉면 신정리 318-2,,,2025-05-01,2026-03-10
아산시,시전농장,닭,육계,38000,충청남도 아산시 도고면 금산리 산 28-1 도고면 금산리 69-2 69-1,,,2025-05-01,2026-03-10
아산시,신명축산,닭,육계,60000,충청남도 아산시 선장면 죽산리 121-3,,,2025-05-01,2026-03-10
아산시,신창농장,닭,종계/산란계,24000,충청남도 아산시 신창면 가내리 978,,,2025-05-01,2026-03-10
아산시,신창농장,닭,종계/산란계,48000,충청남도 아산시 신창면 궁화리 166-20,,,2025-05-01,2026-03-10
아산시,아산농장,닭,종계/산란계,30000,충청남도 아산시 영인면 창용리 105-9,,,2025-05-01,2026-03-10
아산시,아산이레농장,닭,육계,13764,충청남도 아산시 음봉면 쌍룡리 107-1,,,2025-05-01,2026-03-10
아산시,안골농원,닭,육계,60000,충청남도 아산시 영인면 성내리 287-6,,,2025-05-01,2026-03-10
아산시,알로찬농장,닭,육계,14000,충청남도 아산시 신창면 오목리 236-1,,,2025-05-01,2026-03-10
아산시,연호농장,닭,종계/산란계,6500,충청남도 아산시 둔포면 신양리 76-1,,,2025-05-01,2026-03-10
아산시,염치농장,닭,종계/산란계,25000,충청남도 아산시 염치읍 쌍죽리 89,,,2025-05-01,2026-03-10
아산시,영남축산,닭,육계,31000,충청남도 아산시 둔포면 염작리 56-13,,,2025-05-01,2026-03-10
아산시,영월농장,닭,육계,70000,충청남도 아산시 배방읍 북수리 472-4,,,2025-05-01,2026-03-10
아산시,우림농원,닭,종계/산란계,40000,충청남도 아산시 선장면 죽산리 103-5,,,2025-05-01,2026-03-10
아산시,원농장,닭,육계,300000,충청남도 아산시 신창면 남성리 693,,,2025-05-01,2026-03-10
아산시,유아농장,닭,육계,36000,충청남도 아산시 둔포면 산전리 36,,,2025-05-01,2026-03-10
아산시,융진농장,닭,육계,110000,충청남도 아산시 도고면 효자리 143-21외 2필지,,,2025-05-01,2026-03-10
아산시,으뜸목장,닭,종계/산란계,75000,충청남도 아산시 인주면 해암리 11-2,,,2025-05-01,2026-03-10
아산시,음봉양계장,닭,종계/산란계,18000,충청남도 아산시 음봉면 삼거리 183-5,,,2025-05-01,2026-03-10
아산시,인광농장,닭,육계,25000,충청남도 아산시 도고면 신통리 91-1,,,2025-05-01,2026-03-10
아산시,인해농원,닭,종계/산란계,15000,충청남도 아산시 영인면 창용리 39,,,2025-05-01,2026-03-10
아산시,인흥농장,닭,육계,80000,충청남도 아산시 둔포면 운교리 190,,,2025-05-01,2026-03-10
아산시,재연농장,닭,육계,60000,충청남도 아산시 염치읍 중방리 95-10,,,2025-05-01,2026-03-10
아산시,제일농장,닭,육계,36000,충청남도 아산시 음봉면 신정리 11-1,,,2025-05-01,2026-03-10
아산시,진수농장,닭,육계,500,충청남도 아산시 선장면 죽산리 331-1,,,2025-05-01,2026-03-10
아산시,창원농장,닭,육계,25000,충청남도 아산시 둔포면 신양리 218-1,,,2025-05-01,2026-03-10
아산시,창의농장,닭,육계,80000,충청남도 아산시 도고면 시전리 350-1,,,2025-05-01,2026-03-10
아산시,청송농원,닭,육계,40000,충청남도 아산시 배미동 185-1,,,2025-05-01,2026-03-10
아산시,초록농장,닭,종계/산란계,200,충청남도 아산시 선장면 군덕리 459-7,,,2025-05-01,2026-03-10
아산시,초원농원,닭,종계/산란계,67720,충청남도 아산시 음봉면 산정리 223,,,2025-05-01,2026-03-10
아산시,초원충남사료 영농조합법인(아산지소),닭,종계/산란계,15000,충청남도 아산시 둔포면 신양리 255-2,,,2025-05-01,2026-03-10
아산시,칠목농장,닭,육계,45000,충청남도 아산시 신창면 행목리 311-1 외 7필지(98/98-1/101/310/311/311-2/311-9),,,2025-05-01,2026-03-10
아산시,통일청란,닭,종계/산란계,12700,충청남도 아산시 둔포면 산전리 390-8,,,2025-05-01,2026-03-10
아산시,평택농장,닭,육계,23680,충청남도 아산시 둔포면 신양리 305-15,,,2025-05-01,2026-03-10
아산시,푸른초원농원,닭,종계/산란계,21000,충청남도 아산시 음봉면 산정리 222-1,,,2025-05-01,2026-03-10
아산시,한미농장,닭,종계/산란계,42406,충청남도 아산시 음봉면 덕지리 26-4,,,2025-05-01,2026-03-10
아산시,한일농장,닭,육계,24480,충청남도 아산시 도고면 신통리 95-1,,,2025-05-01,2026-03-10
아산시,향원농장,닭,육계,50000,충청남도 아산시 신창면 남성리 675-1,,,2025-05-01,2026-03-10
아산시,현광1농장,닭,육계,20000,충청남도 아산시 초사동 261-1,,,2025-05-01,2026-03-10
아산시,현광2농장,닭,육계,45000,충청남도 아산시 장존동 산38-35,,,2025-05-01,2026-03-10
아산시,현대농장,닭,육계,30000,충청남도 아산시 음봉면 신정리 11-1,,,2025-05-01,2026-03-10
아산시,현민농장,닭,육계,55000,충청남도 아산시 신창면 가덕리 44-1,,,2025-05-01,2026-03-10
아산시,협진농장,닭,육계,40000,충청남도 아산시 음봉면 원남리 180-3,,,2025-05-01,2026-03-10
아산시,호반 토종닭,닭,육계,50,충청남도 아산시 염치읍 동정리 33,,,2025-05-01,2026-03-10
아산시,희망농장,닭,종계/산란계,30000,충청남도 아산시 둔포면 산전리 364-1,,,2025-05-01,2026-03-10
천안시,가나안농장,닭,종계/산란계,20000,충청남도 천안시 동남구 풍세면 보성리 ***번지,,,2025-11-28,2025-03-09
천안시,가덕농장,닭,육계,60192,충청남도 천안시 동남구 풍세면 가송리 ***번지 *호,,,2025-11-28,2025-03-09
천안시,가송농장,닭,육계,33000,충청남도 천안시 동남구 풍세면 가송리 ***번지,,,2025-11-28,2025-03-09
천안시,가송농장,닭,육계,39246,충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호,,,2025-11-28,2025-03-09
천안시,가온팜 농업회사법인(주),닭,종계/산란계,145600,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호,,,2025-11-28,2025-03-09
천안시,갈뫼정,닭,육계,1000,충청남도 천안시 동남구 목천읍 교천리 ***번지 외*필지(***-*),,,2025-11-28,2025-03-09
천안시,개운농장,닭,종계/산란계,4800,충청남도 천안시 동남구 북면 명덕리 ***번지 *호 ***번지,,,2025-11-28,2025-03-09
천안시,거기농장,닭,육계,2000,충청남도 천안시 동남구 성남면 석곡리 ***번지 *호,,,2025-11-28,2025-03-09
천안시,경인농장,닭,종계/산란계,160000,충청남도 천안시 동남구 병천면 도원리 ***번지 *호,,,2025-11-28,2025-03-09
천안시,경치농장,닭,육계,57000,충청남도 천안시 동남구 풍세면 보성리 ***번지 *호 외 *필지(산*-*),,,2025-11-28,2025-03-09
천안시,경희농장,닭,육계,26800,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***, ***-*)",,,2025-11-28,2025-03-09
천안시,계봉농장,닭,종계/산란계,30000,충청남도 천안시 동남구 수신면 발산리 ***번지 *호 외 *필지,,,2025-11-28,2025-03-09
천안시,구성농장,닭,종계/산란계,18624,"충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *(***-*,**)",,,2025-11-28,2025-03-09
